Country,Longitude,Latitude,projects,description,category
Solomon Islands,160.156194,-9.64571,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
South Africa,22.937506,-30.559482,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
South Africa,22.937506,-30.559482,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
South Sudan,29.6949232,7.8626845,Independent Evaluation of Trade Mark East Africa (DFID),The purpose of this project is to identify and feed lessons learnt into the management of the remainder of the current programme and the design of any potential continuation of the TMEA programme and future regional trade integration programmes. The evaluation will provide evidence on trade and development that is more widely of interest also.,Impact Assessment
Sri Lanka,80.771797,7.873054,National Export Strategy of Sri Lanka (ITC),The purpose of this project was to define the scope of the initiative as well as assess issues pertinent to the development of the National Export Strategy (NES). The new NES will be designed to provide a prioritised five-year action-oriented framework for trade development and competitiveness.,Export promotion & strategy
Swaziland,31.465866,-26.522503,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Swaziland,31.465866,-26.522503,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Switzerland,8.227512,46.818188,Independent Evaluation of SITA Africa: Supporting Indian Trade and Investment for Africa (DFID),"In 2013 DFID approved the programme Supporting Indian Trade and Investment for Africa (SITA Africa), DFID’s first South-South Aid for Trade (AfT) and value chain development programme. The purpose of SITA Africa is to harness Indian resources (knowledge, technology, capital) to increase higher value-added exports from selected African countries to the Indian market, and also third markets. The overall objective of this assignment is to estimate SITA’s contribution to programme outcomes and determine its overall impact.","Impact Assessment, Export promotion & strategy"
Switzerland,8.227512,46.818188,Technical Assistance on WTO Issues for the ACP Group in Geneva (TAF2+),"International Economics is working closely and collaboratively with the ACP Group Secretariat, the group coordinator and ACP Group member delegations at the WTO to provide technical, analytical, legal and logistics support in preparation for the future negotiations. This includes technical studies and briefing notes on various WTO issues with regard to ACP countries and their social, economic and commercial development, as well as the development of a database/document distribution facility of current and previous negotiating proposals and position papers at the WTO accessible to all ACP members. High level training for the ACP delegations and technical training for the ACP Group coordinator on thematic areas of the group’s intetest, as well as logistical support for the participation of ACP Geneva delegations at relevant meetings are also provided.",Policy & Negotiations
Tajikistan,71.276093,38.861034,Process Evaluation of the South Asia Regional Trade and Integration Programme SARTIP (DFID),"SARTIP covers 11 countries across Central and South Asia, and three major sectors: energy connectivity; trade in goods and services; and regional FDI. Programme activities fall into two principal areas: investment preparation and policy reform.","Policy & Negotiations, impact Assessment"
Tanzania,34.888822,-6.369028,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Tanzania,34.888822,-6.369028,Independent Evaluation of Trade Mark East Africa (DFID),The purpose of this project is to identify and feed lessons learnt into the management of the remainder of the current programme and the design of any potential continuation of the TMEA programme and future regional trade integration programmes. The evaluation will provide evidence on trade and development that is more widely of interest also.,Impact Assessment
Tanzania,34.888822,-6.369028,Monitoring and Evaluation of the COMESA Regional Integration Support Mechanism (RISM) (EC/EDF),"The objective of the Regional Integration Support Mechanism (RISM) is to support Member Countries in participating fully in the COMESA, EAC and Tripartite FTAs and the COMESA and EAC customs unions with minimum disruption to public expenditure commitments, as well as enabling them to implement economic reform programmes in the context of regional integration.",Impact Assessment
Tanzania,34.888822,-6.369028,Preparation of the Concept Note for the African Green Revolution Forum (ITC),The overall objective of the assignment is to provide technical advice to the ITC coordination meetings with potential partners in preparing a concept note for the African Green Revolution Forum.,"Export promotion & strategy, Impact Assessment"
Tanzania,34.888822,-6.369028,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Tanzania,34.888822,-6.369028,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Tanzania,34.888822,-6.369028,Supporting India’s Trade Preferences for Africa – Consultancy on Value Chain Roadmaps and sector strategy (DFID),"The purpose of this contract is to support the ITC Export Strategy advisers in elaborating trade performance diagnostics, value chain analyses and strategic opportunities analysis in each of two value chain roadmaps (Leather and Pulses) and one sector strategy (Sunflower) for Tanzania. The value chain roadmaps and the strategy will serve to guide trade development in these sectors in Tanzania as well as for the implementation of the SITA project.",Export promotion & strategy
Tanzania,34.888822,-6.369028,Targeted Support to the EAC for the Implementation of the Tripartite FTA Agreement-Trade Policy and Export Development to the EU Market (EDF/TradeCom II),"The project is to provide a range of highly specialised technical and legal services to the Customs and Trade Directorate of the EAC. These services involve: 
The provision of technical and legal support to the Directorate of Customs and Trade of the EAC States; 
Provision of capacity building and tripartite awareness services to the target audiences; 
Preparation of strategic and technical reports in the areas covered by the terms of reference.","Impact Assessment, Export promotion & strategy"
Thailand,100.992541,15.870032,Formulation of the Trade Related Technical Assistance Project to Thailand (EC),"The global objective of the assignment is to support the design of a specific Trade-Related Technical Assistance (TRTA) national programme for Thailand.  
In the framework of the regional ARISE+ programme, as well as the ASEAN Economic Integration agenda, the specific objective is to deliver key lessons, define priorities and provide recommendations to assist the EU Delegation to Thailand, in order to formulate the TRTA Thailand national programme.","Impact Assessment, Policy & Negotiations"
Thailand,100.992541,15.870032,Handbook on Negotiating Sustainability Development Provisions in Free Trade Agreements (UNESCAP),"The overall objective of this project is to increase the capacity of governments and trade negotiators in the Asia Pacific Region, to enhance the contribution of PTAs to inclusive development; and to increase the capacity of governments to expand South-South trade through preferential trade policies and agreements in order to generate productive employment and contribute to an improved sharing in prosperity.",Policy & Negotiations
Togo,0.824782,8.619543,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Tonga,-175.198242,-21.178986,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Tuvalu,177.64933,-7.109535,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Uganda,32.290275,1.373333,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Uganda,32.290275,1.373333,Independent Evaluation of SITA Africa: Supporting Indian Trade and Investment for Africa (DFID),"In 2013 DFID approved the programme Supporting Indian Trade and Investment for Africa (SITA Africa), DFID’s first South-South Aid for Trade (AfT) and value chain development programme. The purpose of SITA Africa is to harness Indian resources (knowledge, technology, capital) to increase higher value-added exports from selected African countries to the Indian market, and also third markets. The overall objective of this assignment is to estimate SITA’s contribution to programme outcomes and determine its overall impact.","Impact Assessment, Export promotion & strategy"
Uganda,32.290275,1.373333,Independent Evaluation of Trade Mark East Africa (DFID),The purpose of this project is to identify and feed lessons learnt into the management of the remainder of the current programme and the design of any potential continuation of the TMEA programme and future regional trade integration programmes. The evaluation will provide evidence on trade and development that is more widely of interest also.,Impact Assessment
Uganda,32.290275,1.373333,Monitoring and Evaluation of the COMESA Regional Integration Support Mechanism (RISM) (EC/EDF),"The objective of the Regional Integration Support Mechanism (RISM) is to support Member Countries in participating fully in the COMESA, EAC and Tripartite FTAs and the COMESA and EAC customs unions with minimum disruption to public expenditure commitments, as well as enabling them to implement economic reform programmes in the context of regional integration.",Impact Assessment
Uganda,32.290275,1.373333,Targeted Support to the EAC for the Implementation of the Tripartite FTA Agreement-Trade Policy and Export Development to the EU Market (EDF/TradeCom II),"The project is to provide a range of highly specialised technical and legal services to the Customs and Trade Directorate of the EAC. These services involve: 
The provision of technical and legal support to the Directorate of Customs and Trade of the EAC States; 
Provision of capacity building and tripartite awareness services to the target audiences; 
Preparation of strategic and technical reports in the areas covered by the terms of reference.","Impact Assessment, Export promotion & strategy"
UK,-3.435973,55.378051,Analytical Paper on the Implications of Potential Multilateral Rules on E-Commerce for Commonwealth Small States’ Development Objectives (Commonwealth Secretariat),"The overall objective of this paper is to help Commonwealth Small States to better understand the scope and breadth of potential e-commerce disciplines in a trade context, and the potential implications for the development trajectory of their economies.",E-Commerce / Digital Trade
UK,-3.435973,55.378051,Trade Preferences and Women’s Economic Empowerment (WOW) (DFID),"The project aimed to facilitate the understanding and measurement of how unilateral trade preferences impact gender equality and WEE in developing countries and, within the context of the UK GSP, how to both ensure it is “doing no harm”, while also shifting to an approach that can move beyond this leading to transformational positive impacts.",Impact Assessment
Ukraine,31.16558,48.379433,Support Development of Export Strategy for Ukraine (ITC),The overall objective of the project is to gather and process relevant information that will assist the Chief Economist and Export Strategies (CEES) Section of ITC to develop the second phase of Ukraine’s National Trade Strategy.,Export promotion & strategy
US,-95.712891,37.09024,Stocktaking of the Trade Facilitation Support Programme (TFSP) (World Bank),"Provide an independent assessment of TFSP’s performance and results achieved to date to the TFSP’s stakeholders using a theory-based approach; 
Identify areas to improve the Programme’s effectiveness; and 
Assess how TFSP has complemented other trade facilitation programmes.",Export promotion & strategy
Uzbekistan,64.585262,41.377491,Process Evaluation of the South Asia Regional Trade and Integration Programme SARTIP (DFID),"SARTIP covers 11 countries across Central and South Asia, and three major sectors: energy connectivity; trade in goods and services; and regional FDI. Programme activities fall into two principal areas: investment preparation and policy reform.","Policy & Negotiations, impact Assessment"
Vanuatu,166.959158,-15.376706,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Vietnam,108.277199,14.058324,Impact Assessment of the EU- Vietnam FTA and Support the Business Community's Active Role in Trade Negotiations (EC),"The objectives are:  
to assist the Ministry of Industry and Trade to update the Impact Assessment Study of the EU-Vietnam FTA conducted in 2009-2011 and to detail such impact in key sectors; and  to raise the awareness of Vietnam’s decision makers and industries on the adjustment measures they could take, and support their ability to identify better trade strategies.",Impact Assessment
Vietnam,108.277199,14.058324,Impact assessment of the EU-Vietnam FTA (EC),"The objectives are:  
(1) to assist the Ministry of Industry and Trade to update the Impact Assessment Study of the EU-Vietnam FTA conducted in 2014 and to detail such impact in some key sectors; and  
(2) to raise awareness of Vietnam’s decision makers and industries on the adjustment measures they could take and support their ability to identify better trade strategies","Impact Assessment, Policy & Negotiations"
Vietnam,108.277199,14.058324,"Impact Assessment using Computable General Equilibrium (CGE) Analysis of the EU-Vietnam Free Trade Agreement (British Government, Department for International Trade – DIT)","The overall objective of this project is to provide the British Government’s Department for International Trade (DIT) with a robust understanding of the impact the EU-Vietnam Free Trade Agreement (EVFTA) will have on the UK economy.  
This includes understanding what impact EVFTA will have on UK GDP, consumer welfare, bilateral trade, and a range of other variables as well as the sectors that will be most heavily impacted.","Impact Assessment, Export promotion & strategy"
Zambia,27.849332,-13.133897,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Zambia,27.849332,-13.133897,Formulation of Operational Guidelines for the Technical Cooperation Facility (TCF) under the Regional Integration Support Programme (RISP3) (EC/EDF),The purpose of this assignment was to assist the COMESA Secretariat in drafting operational guidelines for the Technical Cooperation Facility (TCF). These guidelines outline the overall governance architecture of the TCF and the criteria and procedures that have to be respected/followed by COMESA Member States in order to access and benefit from the funds.,Impact Assessment
Zambia,27.849332,-13.133897,Monitoring and Evaluation of the COMESA Regional Integration Support Mechanism (RISM) (EC/EDF),"The objective of the Regional Integration Support Mechanism (RISM) is to support Member Countries in participating fully in the COMESA, EAC and Tripartite FTAs and the COMESA and EAC customs unions with minimum disruption to public expenditure commitments, as well as enabling them to implement economic reform programmes in the context of regional integration.",Impact Assessment
Zambia,27.849332,-13.133897,Partnership for Investment and Growth in Africa-PIGA (DFID/ITC),"The project aims at increasing sustainable incomes in selected African partner countries through exports and investment promotion, as well as enhancing integration of African SMEs into global value chains.","Export promotion & strategy, Investment, Impact Assessment"
Zambia,27.849332,-13.133897,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Zambia,27.849332,-13.133897,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Zambia,27.849332,-13.133897,Support to Zambia Bureau of Standards in the field of Standardisation and Quality Management Systems (EDF/ACP TBT Programme),"The purpose of this contract was as follows: 
To upgrade the existing capacities of the Zambia Bureau of Standards in terms of standardisation and management systems and support the accreditation process of key proficiency testing facilities. 
To raise awareness on the key elements of the TBT/WTO Agreement among public and private relevant stakeholders.",Policy & Negotiations
Zambia,27.849332,-13.133897,Targeted Support to the Regional Multidisciplinary Centre of Excellence (RMCE) for the Implementation of the Key Trade Components of its APEI Programmes (TradeComII),"The overall objective of the project was to support the beneficial integration of the Accelerated Programme for Regional Integration (APEI) countries of Malawi, Mauritius, Mozambique, Seychelles, and Zambia into the regional and global economy and, thereby, contribute to sustainable economic development and poverty reduction in the region.",Impact Assessment
Zimbabwe,29.154857,-19.015438,Expanding Trade and Investment Plans (ETIPs) in the East and Southern African Region (TAF2+),"The objective is to prepare a regional ETIP, comprising sets of clear and costed programme documents suggesting how to increase trade with key trading partners and ultimately increase the development impact of the EPAs.",Export promotion & strategy
Zimbabwe,29.154857,-19.015438,Monitoring and Evaluation of the COMESA Regional Integration Support Mechanism (RISM) (EC/EDF),"The objective of the Regional Integration Support Mechanism (RISM) is to support Member Countries in participating fully in the COMESA, EAC and Tripartite FTAs and the COMESA and EAC customs unions with minimum disruption to public expenditure commitments, as well as enabling them to implement economic reform programmes in the context of regional integration.",Impact Assessment
Zimbabwe,29.154857,-19.015438,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Zimbabwe,29.154857,-19.015438,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Zimbabwe,29.154857,-19.015438,"Study on the impact of the Interim Economic Partnership Agreement on the ESA signatory countries and the setting up of an EPA fund as a vehicle for financing the implementation of the iEPA Trade related, Fisheries and Development components (EC)",The overall objective of this study is to contribute to the economic development and regional integration of the beneficiary countries through the improvement of the trade relationship between them and the EU in the framework of the Interim Economic Partnership Agreement (iEPA). ,"Impact Assessment, Export promotion & strategy"
